company,tax_id,license,address,fit_hint
Công ty TNHH DV  Phúc An Khang,0315347911,15256,"6/1 Tú Xương, Phường Hiệp Phú, Thành phố Thủ Đức",
Công ty TNHH Quốc tế Sanko Gakuen,0312032624,6602/2023/10/SLĐTBXH-VLATLĐ,"số 20 Nguyễn Đăng Giai, Phường Thảo Điền, Tp. Thủ Đức",
Công ty TNHH Một thành viên Cung ứng Nguồn nhân lực Suleco,0316429557,34779/2022/34/SLĐTBXH-VLATLĐ,"165 Đại lộ 3, Phường Phước Bình, Quận 9",yes
Công ty TNHH Jobfull Partner,0311105894,15163/2023/30/SLĐTBXH-VLATLĐ,"Số 1, đường số 69, Khu phố 1, Phường Thạnh Mỹ Lợi, Thành phố Thủ Đức",
Công ty TNHH Jobs & Services Consulting,0317282875,16210/2023/33/SLĐTBXH-VLATLĐ,"Căn số C-00.13, Tầng trệt, Chung cư lô C1, số 62 Hoàng Thế Thiện, Phường An Lợi Đông, thàn",
Công ty TNHH Đào tạo và Nguồn Nhân Lực Hàng Hải,0303605029,23162/2023/47/SLĐTBXH-VLATLĐ,"Số 1, đường 33, Khu phố 2, Phường An Khánh, thành phố Thủ Đức",yes
Công ty TNHH Anywr Việt Nam,3603870697,24429/2023/50/SLĐTBXH-VLATLĐ,"số 39 Nguyễn Duy Hiệu, phường Thảo Điền, thành phố Thủ Đức",
Công ty TNHH Heytalents,0318297352,7486/2024/22/SLĐTBXH-VLATLĐ,"146E7 Nguyễn Văn Hưởng, phường Thảo Điền, thành phố Thủ Đức",yes
Công ty TNHH Thương Mại Dịch Vụ Đồng Đắc Phú,0317484751,16149/2024/33/SLĐTBXH-VLATLĐ,"23/1C Đường 671, phường Tân Phú, thành phố Thủ Đức",
Công ty TNHH Michael page International (Việt Nam),0315040736,24525/2024/52/SLĐTBXH-VLATLĐ,"Tầng 20, Tháp A, Khu thương mại dịch vụ kết hợp nhà ở cao tầng tại lô đất 1-13, số 15, đườ",yes
